,raMean,decMean,gMeanKronMag,rMeanKronMag,iMeanKronMag,zMeanKronMag,yMeanKronMag,gMeanKronMagErr,rMeanKronMagErr,iMeanKronMagErr,zMeanKronMagErr,yMeanKronMagErr,spec_redshift,spec_redshift_error
53,0.38182478,-10.57032652,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.07617247,2.020891e-05
54,0.3879283095354192,-10.51084250848704,22.002899169921875,20.55970001220703,19.90530014038086,19.67729949951172,19.31450080871582,0.2664490044116974,0.0394550003111362,0.0541649982333183,0.0496999993920326,0.1240369975566864,0.07609276,1.088353e-05
55,0.4004217706934125,-10.283295173776562,-999.0,20.77869987487793,19.747800827026367,19.32069969177246,19.06579971313477,-999.0,0.0685070008039474,0.0477820001542568,0.0719659999012947,0.0432190001010894,0.07682312,1.516203e-05
56,0.4027080476492437,-10.605207341461524,17.892900466918945,17.319700241088867,17.022499084472656,16.916500091552734,17.09280014038086,0.0440020002424716,0.0165909994393587,0.008836000226438,0.018843000754714,0.0304910000413656,0.1445337,7.006217e-06
57,0.403506086817779,-10.288313516915036,-999.0,20.787399291992188,20.04199981689453,19.73069953918457,19.32229995727539,-999.0,0.05867899954319,0.0249739997088909,0.0758529976010322,0.113935001194477,0.2165999,3.377102e-05
58,0.4077153009598869,-10.62430313151677,19.884599685668945,18.674699783325195,18.031200408935547,17.86050033569336,17.673500061035156,0.0425809994339942,0.01630499958992,0.0199829991906881,0.0145079996436834,0.0248789992183446,0.2481257,4.517012e-05
59,0.4262613271800972,-10.758566528305655,19.194799423217773,17.923799514770508,17.408700942993164,17.239700317382812,17.053199768066406,0.0295340009033679,0.0144649995490908,0.0122549999505281,0.013667999766767,0.0236450005322694,0.04372362,1.299567e-05
60,0.4289002478238686,-10.55557716652264,20.709999084472656,19.31800079345703,18.78840065002441,18.66519927978516,18.45770072937012,0.1009190008044242,0.0369299985468387,0.0185610000044107,0.058432001620531,0.0426700003445148,0.04383214,5.024594e-05
61,0.4342839304758917,-11.20610069443472,19.14800071716309,17.9773006439209,17.462099075317383,17.271299362182617,17.06909942626953,0.021281000226736,0.0181089993566274,0.0080310003831982,0.0125420000404119,0.021433999761939,0.139398,3.83169e-05
62,0.4459195677708317,-10.625984991877491,20.551300048828125,19.14229965209961,18.55610084533692,18.34119987487793,18.03770065307617,0.0654499977827072,0.0239579994231462,0.0192770007997751,0.0200789999216794,0.0397810004651546,0.07901917,1.399888e-05
63,0.4545929641723314,-10.220706239860084,18.203399658203125,17.885799407958984,17.596599578857422,17.650400161743164,17.6382999420166,0.0108000002801418,0.0113580003380775,0.0111400000751018,0.0172830000519752,0.0258789993822574,0.09117247,6.308022e-06
64,0.45758547,-10.40728735,-999.0,-999.0,20.929399490356445,-999.0,-999.0,-999.0,-999.0,0.0791639983654022,-999.0,-999.0,0.362104,0.0001096255
65,0.4680650138155091,-10.324004519556585,18.7593002319336,17.859399795532227,17.402700424194336,17.35059928894043,17.284900665283203,0.0201680008322,0.0094689996913075,0.0106509998440742,0.0107909999787807,0.0248329993337392,0.1933449,2.499219e-05
66,0.4704573902686423,-10.216943944902557,-999.0,20.752700805664062,20.16990089416504,19.70450019836425,19.65169906616211,-999.0,0.048174999654293,0.0344519987702369,0.0925650000572204,0.0906379967927932,0.07730328,7.221266e-06
67,0.4751441359033325,-11.031507852857716,18.365699768066406,17.842100143432617,17.4237003326416,17.291500091552734,17.353700637817383,0.0233629997819662,0.0310520008206367,0.0130240004509687,0.0081879999488592,0.0190110001713037,0.155093,6.978251e-06
68,0.4820320150371498,-10.228401183536212,19.98430061340332,18.60059928894043,17.963199615478516,17.77899932861328,17.671600341796875,0.0291300006210804,0.0198529995977878,0.009014000184834,0.0140110002830624,0.0218310002237558,0.08743562,2.209516e-05
69,0.4884971570676911,-10.52148181359877,19.23259925842285,17.98889923095703,17.39259910583496,17.216100692749023,17.117300033569336,0.0351389981806278,0.042978998273611,0.01218600012362,0.0120419999584555,0.0563380010426044,0.1838985,1.204108e-05
